// Start Time: 0
// Sample rate: 50.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_w	Quat_x	Quat_y	Quat_z
 1024	4.058783	8.910753	-1.340357	-0.012588	-0.032902	0.219914	-0.484465	-1.224495	0.125566	0.652163	0.640887	-0.396328	-0.082896	
 1025	4.072996	8.778504	-1.305233	0.001319	0.001103	0.203526	-0.490340	-1.222814	0.126284	0.652326	0.640088	-0.397626	-0.081557	
 1026	4.129765	8.680643	-1.289252	0.012448	0.014890	0.163934	-0.496270	-1.221607	0.125787	0.652439	0.639528	-0.398589	-0.080343	
 1027	4.173938	8.618745	-1.282594	0.047834	0.032515	0.155760	-0.501169	-1.220644	0.125353	0.652387	0.639244	-0.399411	-0.078928	
 1028	4.174451	8.578496	-1.306717	0.059904	0.048171	0.142952	-0.506195	-1.219564	0.127722	0.652309	0.639100	-0.400058	-0.077448	
 1029	4.236257	8.610620	-1.321175	0.067379	0.037195	0.138257	-0.508939	-1.219192	0.129424	0.652133	0.639014	-0.400751	-0.076039	
 1030	4.298275	8.626164	-1.345284	0.085055	0.050128	0.136483	-0.513221	-1.216860	0.131324	0.651894	0.639058	-0.401360	-0.074488	
 1031	4.351189	8.617195	-1.345567	0.075708	0.054638	0.122641	-0.517682	-1.214475	0.132143	0.651720	0.639099	-0.401844	-0.073035	
 1032	4.303422	8.597852	-1.364583	0.068212	0.058254	0.094078	-0.521652	-1.212720	0.132449	0.651587	0.639206	-0.402117	-0.071777	
 1033	4.326113	8.672909	-1.392993	0.085063	0.032684	0.115150	-0.524220	-1.211596	0.135243	0.651257	0.639320	-0.402701	-0.070476	
 1034	4.316824	8.660368	-1.369104	0.070196	0.018846	0.128892	-0.527918	-1.211331	0.138488	0.650974	0.639272	-0.403449	-0.069231	
 1035	4.441400	8.662356	-1.398345	0.060906	-0.007848	0.107455	-0.531097	-1.207575	0.139409	0.650627	0.639228	-0.404230	-0.068335	
 1036	4.507695	8.711480	-1.422301	0.054355	-0.003318	0.101912	-0.534659	-1.208641	0.139967	0.650336	0.639163	-0.404945	-0.067479	
 1037	4.499269	8.630321	-1.441811	0.047829	-0.013464	0.076020	-0.537605	-1.208993	0.140040	0.650027	0.639156	-0.405551	-0.066877	
 1038	4.502375	8.582595	-1.449245	0.053391	-0.007023	0.056693	-0.538233	-1.206898	0.143241	0.649695	0.639266	-0.405998	-0.066340	
 1039	4.519256	8.568925	-1.475695	0.007670	-0.003651	0.032672	-0.538853	-1.206271	0.143746	0.649653	0.639180	-0.406237	-0.066119	
 1040	4.476554	8.539601	-1.470873	0.008545	0.010102	0.001410	-0.540490	-1.205950	0.144448	0.649640	0.639233	-0.406191	-0.066016	
 1041	4.421860	8.510139	-1.465998	0.002983	-0.010110	-0.018065	-0.540640	-1.207266	0.143884	0.649568	0.639318	-0.406144	-0.066186	
 1042	4.414492	8.519726	-1.470698	-0.017559	-0.007495	-0.042975	-0.539230	-1.207494	0.143837	0.649621	0.639368	-0.405915	-0.066592	
 1043	4.394386	8.581579	-1.460724	-0.030604	-0.013992	-0.049477	-0.539589	-1.208067	0.144341	0.649727	0.639360	-0.405670	-0.067127	
 1044	4.383800	8.648333	-1.450768	-0.031530	-0.024090	-0.066139	-0.538585	-1.207747	0.143875	0.649784	0.639395	-0.405401	-0.067857	
 1045	4.373781	8.681379	-1.431423	-0.043668	-0.014069	-0.062399	-0.538130	-1.208872	0.142550	0.649964	0.639353	-0.405065	-0.068529	
 1046	4.297586	8.664844	-1.364212	-0.058563	-0.016893	-0.063321	-0.535296	-1.209877	0.142717	0.650226	0.639215	-0.404734	-0.069289	
 1047	4.285492	8.674100	-1.354545	-0.039896	-0.015846	-0.040229	-0.533280	-1.210182	0.141906	0.650390	0.639106	-0.404553	-0.069813	
 1048	4.264126	8.663998	-1.340154	-0.031500	-0.013035	-0.032814	-0.533721	-1.210665	0.140666	0.650514	0.639014	-0.404423	-0.070253	
 1049	4.230768	8.653758	-1.325710	-0.030506	-0.034112	-0.023700	-0.533781	-1.211400	0.139314	0.650554	0.638886	-0.404473	-0.070748	
 1050	4.244844	8.664143	-1.359198	-0.017436	-0.038613	-0.008038	-0.534116	-1.211733	0.140357	0.650501	0.638758	-0.404691	-0.071149	
 1051	4.218684	8.649472	-1.359156	-0.034206	-0.035947	0.011341	-0.535179	-1.211187	0.139628	0.650582	0.638463	-0.404974	-0.071442	
 1052	4.382719	8.589186	-1.364982	-0.015495	-0.057876	0.025002	-0.534617	-1.212295	0.140584	0.650463	0.638208	-0.405516	-0.071729	
 1053	4.447882	8.552354	-1.403723	0.001231	-0.037614	0.022347	-0.534747	-1.211896	0.140582	0.650319	0.638097	-0.405906	-0.071818	
 1054	4.365872	8.571211	-1.436738	0.030987	-0.005314	0.025372	-0.536156	-1.211937	0.140625	0.650113	0.638162	-0.406170	-0.071607	
 1055	4.316208	8.662750	-1.493435	0.017962	-0.017294	0.044674	-0.537915	-1.211358	0.141457	0.649961	0.638083	-0.406583	-0.071353	
 1056	4.431251	8.662142	-1.517865	0.010476	-0.011866	0.036349	-0.538416	-1.211786	0.141686	0.649867	0.637966	-0.406945	-0.071196	
 1057	4.509529	8.573833	-1.487583	-0.006350	0.010024	0.033664	-0.540454	-1.210522	0.142109	0.649972	0.637793	-0.407093	-0.070938	
 1058	4.522739	8.506237	-1.452121	0.010390	0.033051	0.032894	-0.540912	-1.210596	0.143282	0.650062	0.637738	-0.407114	-0.070489	
 1059	4.501791	8.472006	-1.428291	0.017791	0.048673	0.000720	-0.540678	-1.211099	0.142754	0.650147	0.637882	-0.406818	-0.070099	
 1060	4.430107	8.458882	-1.411299	0.031756	0.064372	0.011928	-0.542236	-1.210854	0.142390	0.650210	0.638054	-0.406546	-0.069531	
 1061	4.401225	8.467945	-1.401558	0.043886	0.050679	-0.015801	-0.543236	-1.212247	0.142841	0.650125	0.638436	-0.406151	-0.069129	
 1062	4.381507	8.499036	-1.410875	0.028975	0.044170	-0.020462	-0.541443	-1.211392	0.142835	0.650101	0.638708	-0.405799	-0.068909	
 1063	4.405848	8.479928	-1.399126	0.019645	0.045021	-0.028778	-0.540915	-1.211796	0.143130	0.650138	0.638980	-0.405341	-0.068726	
 1064	4.469788	8.533355	-1.399136	0.022438	0.042271	-0.036198	-0.540254	-1.213270	0.143418	0.650139	0.639287	-0.404874	-0.068624	
 1065	4.519130	8.596423	-1.410988	0.021540	0.030342	-0.021532	-0.538842	-1.212163	0.143525	0.650110	0.639531	-0.404559	-0.068478	
 1066	4.505688	8.691929	-1.403262	0.025257	0.029447	-0.033521	-0.538464	-1.213481	0.143263	0.650042	0.639834	-0.404196	-0.068431	
 1067	4.580635	8.803330	-1.422153	-0.000847	0.021018	-0.040090	-0.538271	-1.214084	0.144604	0.650106	0.640001	-0.403809	-0.068555	
 1068	4.531159	8.745280	-1.422231	-0.010169	0.017294	-0.052093	-0.535602	-1.213448	0.144116	0.650208	0.640175	-0.403327	-0.068795	
 1069	4.475711	8.628395	-1.355630	-0.027841	0.010781	-0.044746	-0.535896	-1.215819	0.143125	0.650400	0.640177	-0.402958	-0.069123	
 1070	4.434101	8.540822	-1.310461	-0.025055	0.030995	-0.022464	-0.534938	-1.217053	0.141563	0.650670	0.640128	-0.402592	-0.069168	
 1071	4.406080	8.501536	-1.277061	-0.030571	0.006211	-0.010613	-0.533217	-1.217322	0.139931	0.650885	0.639970	-0.402471	-0.069313	
 1072	4.429837	8.522951	-1.255535	-0.011906	0.017351	0.032819	-0.533298	-1.217634	0.138182	0.651055	0.639776	-0.402554	-0.069029	
 1073	4.525744	8.533178	-1.231998	-0.034242	0.002525	0.037279	-0.534165	-1.218360	0.138784	0.651312	0.639397	-0.402760	-0.068899	
 1074	4.559774	8.511556	-1.208348	-0.041665	-0.003939	0.052901	-0.534848	-1.217798	0.137946	0.651607	0.638955	-0.403024	-0.068674	
 1075	4.628173	8.442247	-1.175533	-0.026728	-0.006614	0.055643	-0.535591	-1.218239	0.135752	0.651793	0.638543	-0.403413	-0.068450	
 1076	4.753128	8.427015	-1.180952	-0.019233	-0.017594	0.069372	-0.537210	-1.220330	0.133878	0.651895	0.638137	-0.403940	-0.068169	
 1077	4.844575	8.411121	-1.171877	-0.015498	-0.026774	0.049913	-0.538549	-1.217899	0.132892	0.651925	0.637805	-0.404433	-0.068062	
 1078	4.918324	8.294710	-1.177589	-0.028529	-0.027780	0.067391	-0.538014	-1.220448	0.133156	0.652047	0.637367	-0.404962	-0.067850	
 1079	5.063410	8.215276	-1.195385	-0.037891	-0.006768	0.081284	-0.540382	-1.219912	0.131941	0.652323	0.636772	-0.405513	-0.067497	
 1080	5.066512	8.023208	-1.170084	-0.035092	-0.000338	0.081328	-0.540530	-1.220818	0.128708	0.652603	0.636230	-0.405981	-0.067081	
 1081	5.045353	7.836431	-1.185299	-0.027582	-0.016801	0.087706	-0.541196	-1.221744	0.128116	0.652778	0.635664	-0.406649	-0.066701	
 1082	5.198697	7.825301	-1.262562	-0.016410	-0.025035	0.068234	-0.542180	-1.223143	0.126160	0.652830	0.635291	-0.407190	-0.066435	
 1083	5.276824	7.717320	-1.330423	-0.034236	0.002326	0.027758	-0.541843	-1.223481	0.125106	0.653085	0.634934	-0.407354	-0.066343	
 1084	5.482101	7.746027	-1.455538	-0.032504	0.035293	0.001119	-0.539164	-1.225251	0.121908	0.653444	0.634783	-0.407041	-0.066174	
 1085	5.680611	7.754991	-1.554421	-0.041960	0.086560	0.015166	-0.536650	-1.226194	0.120718	0.654082	0.634478	-0.406578	-0.065649	
 1086	5.849958	7.920717	-1.726495	-0.014079	0.104119	0.014302	-0.535445	-1.228211	0.118892	0.654618	0.634485	-0.405837	-0.064806	
 1087	5.583874	7.617126	-1.667089	-0.012250	0.119749	-0.021462	-0.529876	-1.230379	0.117077	0.655175	0.634539	-0.404953	-0.064175	
